Distancia (m),Chalcedony,Kaolinite,Paragonite,Muscovite,Calcite,Gypsum
0.5,0.000068,0.040175,-5.287347,-4.642103,-18.470662,-1.952409
1.5,0.000004,0.010564,-5.329516,-4.480513,-18.466273,-1.950334
2.5,0,0.012737,-5.322776,-4.28565,-18.459503,-1.947184
3.5,0,0.018833,-5.308565,-4.093802,-18.449651,-1.942608
4.5,0,0.02642,-5.290271,-3.913671,-18.436223,-1.936376
5.5,0,0.035797,-5.267006,-3.742245,-18.418361,-1.928098
6.5,0,0.048233,-5.23607,-3.572426,-18.394518,-1.917071
7.5,0,0.065325,-5.194028,-3.397658,-18.362491,-1.902301
8.5,0,0.089893,-5.134767,-3.210066,-18.318831,-1.882246
9.5,0,0.126941,-5.048016,-2.99763,-18.258141,-1.854525
10.5,0,0.185996,-4.915033,-2.740881,-18.171835,-1.815429
11.5,0,0.290427,-4.693032,-2.39672,-18.045092,-1.758759
12.5,0,0.521562,-4.246182,-1.830348,-17.851689,-1.674189
13.5,0.000001,-0.505699,-2.245849,0.077472,-0.000004,0
14.5,0,-0.469523,-2.202754,0.087851,0,0
15.5,0,-0.431161,-2.156094,0.099084,0,0
16.5,0,-0.389061,-2.10425,0.109727,0,0
17.5,0,-0.343813,-2.047781,0.118838,0,0
18.5,0,-0.296601,-1.988,0.125323,0,0
19.5,0,-0.249108,-1.926917,0.128061,0,0
20.5,0,-0.203284,-1.866976,0.126254,0,0
21.5,0,-0.161031,-1.810666,0.119706,0,0
22.5,0,-0.123781,-1.759928,0.109031,0,0
23.5,0,-0.092232,-1.715761,0.095539,0,0
24.5,0,-0.066345,-1.678157,0.080851,0,0
25.5,0,-0.045528,-1.646326,0.066487,0,0
26.5,0,-0.028911,-1.619056,0.053544,0,0
27.5,0,-0.015549,-1.594961,0.042631,0,0
28.5,0,-0.004553,-1.5727,0.03394,0,0
29.5,0,0.004862,-1.551007,0.027383,0,0
30.5,0,0.013367,-1.528733,0.022726,0,0
31.5,0,0.021526,-1.504824,0.019683,0,0
32.5,0,0.029831,-1.478286,0.017979,0,0
33.5,0,0.038719,-1.44816,0.01737,0,0
34.5,0,0.048592,-1.413493,0.017651,0,0
35.5,0,0.05984,-1.373329,0.018648,0,0
36.5,0,0.072846,-1.326703,0.020205,0,0
37.5,0,0.087993,-1.272649,0.022165,0,0
38.5,0,0.105652,-1.210241,0.024352,0,0
39.5,0,0.126157,-1.138663,0.026553,0,0
40.5,0,0.14974,-1.057351,0.028498,0,0
41.5,0,0.176427,-0.966233,0.029866,0,0
42.5,0,0.205865,-0.866092,0.030305,0,0
43.5,0,0.237114,-0.759033,0.029504,0,0
44.5,0,0.268488,-0.648841,0.027317,0,0
45.5,0,0.297648,-0.540839,0.023884,0,0
46.5,0,0.322125,-0.440845,0.019665,0,0
47.5,0,0.340113,-0.353499,0.015298,0,0
48.5,0,0.351036,-0.281001,0.011345,0,0
49.5,0,0.355482,-0.223074,0.008118,0,0
50.5,0,0.354706,-0.177864,0.005673,0,0
51.5,0,0.35011,-0.142961,0.003911,0,0
52.5,0,0.342927,-0.116061,0.002678,0,0
53.5,0,0.334123,-0.095239,0.001829,0,0
54.5,0,0.324394,-0.078995,0.001246,0,0
55.5,0,0.314225,-0.0662,0.000846,0,0
56.5,0,0.303942,-0.056018,0.00057,0,0
57.5,0,0.293757,-0.04783,0.000379,0,0
58.5,0,0.283807,-0.041178,0.000244,0,0
59.5,0,0.274172,-0.035722,0.00015,0,0
60.5,0,0.264899,-0.031206,0.000083,0,0
61.5,0,0.256013,-0.027435,0.000036,0,0
62.5,0,0.247519,-0.024263,0.000002,0,0
63.5,0,0.239415,-0.021574,-0.000022,0,0
64.5,0,0.231692,-0.019279,-0.000039,0,0
65.5,0,0.224337,-0.017308,-0.00005,0,0
66.5,0,0.217334,-0.015605,-0.000058,0,0
67.5,0,0.210667,-0.014125,-0.000063,0,0
68.5,0,0.204318,-0.012833,-0.000066,0,0
69.5,0,0.19827,-0.011699,-0.000068,0,0
70.5,0,0.192507,-0.0107,-0.000069,0,0
71.5,0,0.187012,-0.009816,-0.000068,0,0
72.5,0,0.18177,-0.00903,-0.000067,0,0
73.5,0,0.176768,-0.008329,-0.000066,0,0
74.5,0,0.17199,-0.007702,-0.000065,0,0
75.5,0,0.167424,-0.007138,-0.000063,0,0
76.5,0,0.163059,-0.006631,-0.000061,0,0
77.5,0,0.158882,-0.006173,-0.000059,0,0
78.5,0,0.154883,-0.005758,-0.000057,0,0
